                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5766,                 1.9927,                 1.2857,                0.89098,                0.20793,                0.20912,                0.12598,                 1.3564,                  1.796,                 1.1227,             0.00047261,             0.00047261,             0.00047261
                      2,                 1.3273,                 1.1332,                 1.1311,                0.91847,                0.25301,                0.27268,                0.17817,                 1.2582,                 1.1459,                 1.1171,             0.00093016,             0.00093016,             0.00093016
                      3,                 1.2972,                 1.0534,                 1.1216,                0.92897,                0.24577,                0.27284,                0.17426,                 1.2689,                 1.5595,                 1.0992,              0.0013688,              0.0013688,              0.0013688
                      4,                 1.2537,                0.96506,                 1.0954,                0.93254,                  0.257,                0.29336,                0.19147,                 1.2411,                 1.1425,                 1.1066,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2209,                 0.9676,                  1.082,                0.92236,                0.25813,                0.31025,                0.20989,                  1.186,                 1.2099,                 1.0815,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.1765,                0.84654,                 1.0715,                0.95258,                0.28497,                0.38847,                0.26938,                 1.1377,                0.86153,                 1.0515,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.1663,                 0.8185,                 1.0581,                0.89092,                0.32911,                0.36046,                0.22736,                 1.2789,                 1.0689,                 1.0942,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1486,                0.78394,                 1.0497,                0.97193,                0.28973,                0.33402,                0.23638,                 1.0807,                0.72864,                 1.0223,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.1092,                0.74573,                 1.0282,                0.62463,                0.31429,                0.33013,                0.23469,                 1.0717,                0.73163,                 1.0136,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.0929,                0.72968,                 1.0292,                0.91334,                 0.3622,                0.43333,                0.29967,                 1.0762,                0.76062,                 1.0141,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.0695,                0.70437,                 1.0206,                0.86789,                0.39033,                0.43221,                0.28877,                 1.0725,                0.81611,                 1.0175,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.0602,                0.69325,                 1.0135,                0.86555,                0.44435,                0.49926,                0.34404,                 1.0209,                0.67185,                0.99441,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.0444,                0.67394,                 1.0057,                0.89276,                0.40184,                0.48228,                0.33719,                 1.0193,                0.67198,                0.99728,              0.0011178,              0.0011178,              0.0011178
